日期,点击次数,展示,点击率,排名
2026-06-06,0,15,0%,86.7
2026-06-07,0,22,0%,71.9
2026-06-08,0,14,0%,37.6
2026-06-09,0,3,0%,75.3
2026-06-10,0,6,0%,56.8
2026-06-11,0,24,0%,31.3
2026-06-12,0,46,0%,13.6
2026-06-13,0,11,0%,38.3
2026-06-14,0,6,0%,7.7
2026-06-15,0,4,0%,44.2
2026-06-16,0,17,0%,20.2
2026-06-17,0,11,0%,20.5
2026-06-18,0,6,0%,48.2
2026-06-19,0,6,0%,49.3
2026-06-20,0,9,0%,73.8
2026-06-21,0,8,0%,38.6
2026-06-22,0,7,0%,79.4
2026-06-23,0,7,0%,52.6
2026-06-24,0,10,0%,47.2
2026-06-25,0,10,0%,63.5
2026-06-26,0,4,0%,91.8
2026-06-27,0,7,0%,42.4
2026-06-28,0,5,0%,88.6
2026-06-29,0,5,0%,75
2026-06-30,0,3,0%,61.7
2026-07-01,0,5,0%,75.2
2026-07-02,0,14,0%,61.6
2026-07-03,0,1,0%,91
